estado,municipio,businesses,employees,Payroll,expenditures,income,payroll_employee_day,profits_biz_day,sales_employee_day,employees_unit
Chiapas,Rayon,145,915,3.729495934,125.0630988,161.9985198,11.32208844,636.1288328,491.7987851,6.310344828
Chiapas,Reforma,648,4224,58.8461828,1578.567745,2013.571231,38.69829993,1612.471293,1324.160374,6.518518519
Chiapas,Sabanilla,95,508,3.009609452,36.37194077,74.25153868,16.4567446,1019.590306,406.0123506,5.347368421
Chiapas,Salto de Agua,169,939,14.62458462,435.3515362,560.8590157,43.26288197,1822.532789,1659.149851,5.556213018
Chiapas,San Andres Duraznal,52,320,,18.62034382,24.37360716,,307.3324432,211.576451,6.153846154
Chiapas,San Cristobal de las Casas,6333,38262,588.4346054,14120.01935,18167.88857,42.71968456,1517.375744,1318.968092,6.041686405
Chiapas,San Fernando,356,2043,11.56657944,428.4137115,579.9215776,15.72657236,1091.926394,788.4940142,5.738764045
Chiapas,San Juan Cancuc,164,793,0.499080964,43.15181147,52.14934286,1.748216913,143.9439435,182.6724914,4.835365854
Chiapas,San Lucas,81,288,0.362967974,29.91405317,48.30822998,3.500848516,618.3542125,465.9358602,3.555555556
Chiapas,Santiago el Pinar,9,47,,3.918473659,5.600375829,,519.1056081,330.9914792,5.222222222
Chiapas,Siltepec,203,1204,3.623630275,208.8121199,260.6003862,8.360165824,659.0672684,601.2375096,5.931034483
Chiapas,Simojovel,376,1910,14.53384263,330.7495525,522.6507509,21.13706025,1310.33803,760.1087128,5.079787234
Chiapas,Sitala,70,269,0.305498045,11.1327178,14.11068565,3.154667956,106.0503894,145.7113347,3.842857143
Chiapas,Socoltenango,198,823,2.195956243,63.90453398,88.30901411,7.411759968,311.5673946,298.0593159,4.156565657
Chiapas,Solosuchiapa,54,307,1.025384527,32.14059673,45.54794973,9.277818737,636.9325348,412.1240475,5.685185185
Chiapas,Soyalo,144,579,1.273412642,63.32131929,83.49681469,6.109252746,364.6235099,400.5796137,4.020833333
Chiapas,Suchiapa,335,1519,7.413620871,204.6719032,279.1541253,13.55720297,556.1243887,510.4859289,4.534328358
Chiapas,Suchiate,544,3292,35.90055737,1055.238881,1386.452187,30.29276138,1507.928657,1169.883376,6.051470588
Chiapas,Sunuapa,18,111,0.160310855,9.200819156,15.79013327,4.011783164,992.1301332,395.1484804,6.166666667
Chiapas,Tapachula,6579,51755,1414.939905,46554.58058,57632.01102,75.94220124,4079.685591,3093.20683,7.866697066
Chiapas,Tapalapa,50,280,0.199632386,9.258533109,12.60749689,1.980480017,174.9628554,125.0743739,5.6
Chiapas,Tapilula,245,1537,12.25924332,453.1638847,541.0681389,22.1557929,857.6531844,977.8575487,6.273469388
Chiapas,Tecpatan,499,2659,20.44114641,534.1851621,731.1350506,21.35425432,982.5692612,763.7949214,5.328657315
Chiapas,Tenejapa,114,619,2.050769054,68.35458352,98.72824063,9.202876744,690.1288514,443.0454166,5.429824561
Chiapas,Teopisca,593,3041,13.19993532,305.5437429,417.3710017,12.05737817,461.9979552,381.2442926,5.128161889
Chiapas,Tila,482,2561,9.736615905,271.7324791,366.0730224,10.56077911,487.5745008,397.0595497,5.313278008
Chiapas,Tonala,1581,8927,125.2118521,3091.374997,3995.013465,38.96165569,1367.676253,1243.111866,5.646426312
